scenario,K,total_s,broadphase_s,narrowphase_s,broadphase_execs,skipped_pct
uniform_cloud,0,0.0123864,0.00846908,1.35416e-05,14,97.2
uniform_cloud,1,0.0117543,0.00810115,1.00549e-05,14,97.2
uniform_cloud,2,0.0134515,0.0092491,1.14165e-05,14,97.2
uniform_cloud,5,0.0135175,0.00921814,1.19812e-05,14,97.2
uniform_cloud,10,0.0124481,0.0085201,1.01717e-05,14,97.2
uniform_cloud,20,0.0139545,0.00963499,1.11502e-05,14,97.2
uniform_cloud,50,0.0138692,0.00959972,1.16728e-05,14,97.2
uniform_cloud,100,0.0134514,0.00954719,1.08834e-05,14,97.2
uniform_cloud,200,0.0159899,0.011162,1.10403e-05,14,97.2
uniform_cloud,500,0.0130185,0.00878369,2.99609e-05,14,97.2
uniform_cloud,1000,0.0141618,0.00960921,1.27539e-05,14,97.2
uniform_cloud,2000,0.0134352,0.00925126,1.11015e-05,14,97.2
uniform_cloud,5000,0.0130692,0.00856985,1.05624e-05,14,97.2
free_fall,0,0.0121602,0.0081215,1.26688e-05,13,97.4
free_fall,1,0.0124681,0.00833587,1.12231e-05,13,97.4
free_fall,2,0.0128676,0.00819611,1.17021e-05,13,97.4
free_fall,5,0.0120343,0.0080745,1.04537e-05,13,97.4
free_fall,10,0.0139337,0.00947372,1.20544e-05,13,97.4
free_fall,20,0.0132243,0.00847834,1.02231e-05,13,97.4
free_fall,50,0.012162,0.00798215,1.09076e-05,13,97.4
free_fall,100,0.01182,0.00789123,1.05399e-05,13,97.4
free_fall,200,0.0142396,0.00971891,1.19117e-05,13,97.4
free_fall,500,0.0133826,0.008915,1.22472e-05,13,97.4
free_fall,1000,0.0124557,0.00814749,1.07857e-05,13,97.4
free_fall,2000,0.0119137,0.00813792,1.08628e-05,13,97.4
free_fall,5000,0.0127286,0.0084736,1.08443e-05,13,97.4
