scenario,K,total_s,broadphase_s,narrowphase_s,broadphase_execs,skipped_pct
uniform_cloud,0,0.341238,0.334894,1.5921e-05,500,0
uniform_cloud,1,0.319821,0.314169,1.3858e-05,500,0
uniform_cloud,2,0.195892,0.190366,1.4855e-05,250,50
uniform_cloud,5,0.0737904,0.0695808,1.2375e-05,103,79.4
uniform_cloud,10,0.0341091,0.0305585,1.0477e-05,53,89.4
uniform_cloud,20,0.0200186,0.016083,1.0448e-05,29,94.2
uniform_cloud,50,0.0156207,0.0117497,9.807e-06,15,97
uniform_cloud,100,0.0134984,0.00868736,9.799e-06,9,98.2
uniform_cloud,200,0.0088712,0.00531293,9.741e-06,8,98.4
uniform_cloud,500,0.0105372,0.00426331,9.955e-06,7,98.6
uniform_cloud,1000,0.00729582,0.00386153,9.781e-06,6,98.8
uniform_cloud,2000,0.0101141,0.00600521,1.0197e-05,6,98.8
uniform_cloud,5000,0.00677703,0.0032481,9.885e-06,6,98.8
free_fall,0,0.343178,0.336153,1.4397e-05,500,0
free_fall,1,0.329782,0.323812,1.4172e-05,500,0
free_fall,2,0.184431,0.178635,1.6283e-05,251,49.8
free_fall,5,0.0739596,0.0695161,1.2756e-05,102,79.6
free_fall,10,0.0342219,0.030262,1.0836e-05,53,89.4
free_fall,20,0.0208269,0.0163118,1.0374e-05,28,94.4
free_fall,50,0.0143165,0.00984222,1.113e-05,14,97.2
free_fall,100,0.0137716,0.00659195,1.1556e-05,9,98.2
free_fall,200,0.00790894,0.00421526,9.972e-06,7,98.6
free_fall,500,0.00925526,0.00340966,9.945e-06,6,98.8
free_fall,1000,0.00690125,0.00331929,1.0078e-05,6,98.8
free_fall,2000,0.0129972,0.00732798,9.917e-06,6,98.8
free_fall,5000,0.00845523,0.00500857,9.51e-06,6,98.8
mixed_regime,0,0.322756,0.316869,1.4214e-05,500,0
mixed_regime,1,0.339538,0.333476,1.5319e-05,500,0
mixed_regime,2,0.174031,0.169288,1.3217e-05,250,50
mixed_regime,5,0.067373,0.0625314,1.1354e-05,102,79.6
mixed_regime,10,0.037756,0.0323655,1.1241e-05,55,89
mixed_regime,20,0.0276167,0.0233231,1.1675e-05,31,93.8
mixed_regime,50,0.0144789,0.0106881,1.0218e-05,16,96.8
mixed_regime,100,0.0134886,0.00732807,9.993e-06,12,97.6
mixed_regime,200,0.0106409,0.00671564,9.946e-06,10,98
mixed_regime,500,0.00918082,0.00554981,9.72e-06,10,98
mixed_regime,1000,0.0137417,0.0101778,9.922e-06,10,98
mixed_regime,2000,0.0137056,0.00712304,1.0141e-05,10,98
mixed_regime,5000,0.0113731,0.0054016,9.971e-06,9,98.2
explosion,0,3.38785,3.38136,1.6758e-05,500,0
explosion,1,3.48949,3.4829,1.6759e-05,500,0
explosion,2,1.82742,1.82208,1.5634e-05,250,50
explosion,5,0.736519,0.732131,1.3497e-05,100,80
explosion,10,0.435409,0.430781,1.3345e-05,51,89.8
explosion,20,0.255645,0.251687,1.1579e-05,28,94.4
explosion,50,0.156389,0.152499,1.0864e-05,13,97.4
explosion,100,0.111028,0.107195,1.0878e-05,10,98
explosion,200,0.0978617,0.0933035,1.1642e-05,9,98.2
explosion,500,0.100549,0.0958947,1.032e-05,9,98.2
explosion,1000,0.101527,0.0964259,1.2506e-05,9,98.2
explosion,2000,0.092062,0.0881429,1.0988e-05,9,98.2
explosion,5000,0.106779,0.101642,1.2838e-05,9,98.2
