scenario,K,total_s,broadphase_s,narrowphase_s,broadphase_execs,skipped_pct
explosion,0,3.30788,3.30071,1.8095e-05,500,0
explosion,1,3.24404,3.23841,1.8204e-05,500,0
explosion,2,3.17304,3.16687,1.7696e-05,500,0
explosion,5,3.17447,3.16731,1.7734e-05,500,0
explosion,10,3.06478,3.0593,1.6496e-05,500,0
explosion,20,3.29336,3.28726,1.7944e-05,500,0
explosion,50,3.1703,3.16344,1.7062e-05,500,0
explosion,100,3.26678,3.26122,1.7891e-05,500,0
explosion,200,3.20259,3.19669,1.6701e-05,500,0
explosion,500,3.25978,3.2541,1.7929e-05,500,0
explosion,1000,3.14793,3.14251,1.7255e-05,500,0
explosion,2000,3.09776,3.09163,1.7332e-05,500,0
explosion,5000,3.19038,3.18497,1.727e-05,500,0
