scenario,K,total_s,broadphase_s,narrowphase_s,broadphase_execs,skipped_pct
uniform_cloud,0,0.019353,0.0137875,1.4851e-05,14,97.2
uniform_cloud,1,0.0206017,0.0144075,1.601e-05,14,97.2
uniform_cloud,2,0.0220359,0.0156322,1.9623e-05,14,97.2
uniform_cloud,5,0.024282,0.0134272,1.9114e-05,14,97.2
uniform_cloud,10,0.0164423,0.0113446,1.4572e-05,14,97.2
uniform_cloud,20,0.0158604,0.0108436,1.4455e-05,14,97.2
uniform_cloud,50,0.0167103,0.0115239,1.5954e-05,14,97.2
uniform_cloud,100,0.0158175,0.0107955,1.7889e-05,14,97.2
uniform_cloud,200,0.0158797,0.0108436,1.8261e-05,14,97.2
uniform_cloud,500,0.0170985,0.0117543,1.6365e-05,14,97.2
uniform_cloud,1000,0.015963,0.0108267,1.6554e-05,14,97.2
uniform_cloud,2000,0.0170798,0.0119269,1.6309e-05,14,97.2
uniform_cloud,5000,0.0157854,0.0107683,1.4532e-05,14,97.2
