scenario,K,total_s,broadphase_s,narrowphase_s,broadphase_execs,skipped_pct
uniform_cloud,0,0.487387,0.477778,2.3088e-05,500,0
uniform_cloud,1,0.426708,0.418494,1.993e-05,500,0
uniform_cloud,2,0.209828,0.203193,1.8999e-05,250,50
uniform_cloud,5,0.0895715,0.0833496,1.6253e-05,103,79.4
uniform_cloud,10,0.0460346,0.0408405,1.4985e-05,53,89.4
uniform_cloud,20,0.0281811,0.0229309,1.7743e-05,29,94.2
uniform_cloud,50,0.0165208,0.0114955,1.426e-05,15,97
uniform_cloud,100,0.0124807,0.00705633,1.458e-05,9,98.2
uniform_cloud,200,0.00971262,0.00477697,1.4129e-05,6,98.8
uniform_cloud,500,0.00844136,0.00314492,1.4401e-05,4,99.2
uniform_cloud,1000,0.0083399,0.00320436,1.4278e-05,4,99.2
uniform_cloud,2000,0.00766555,0.00262061,1.8127e-05,3,99.4
uniform_cloud,5000,0.00833161,0.00292752,1.4154e-05,3,99.4
