scenario      ,       K,structure_mode      ,  total_time_s,total_time_std_s,broad_phase_time_s,narrow_phase_time_s,  other_time_s, rebuild_count,avg_candidates_per_frame,correctness_ok,repeat_count
uniform_cloud ,      NA,brute_force         ,      2.268936,        0.057512,          0.000000,           2.261529,      0.007406,             0,                    9.10,             1,           5
uniform_cloud ,      NA,uniform_grid        ,      0.655136,        0.023813,          0.633566,           0.012602,      0.008968,          1000,                 6170.32,             1,           5
uniform_cloud ,      NA,octree              ,      1.103940,        0.014048,          0.956042,           0.137597,      0.010302,          1000,                83358.95,             1,           5
uniform_cloud ,      20,uniform_grid_skin   ,      0.106182,        0.005871,          0.083541,           0.012752,      0.009889,           131,                 6168.23,             1,           5
uniform_cloud ,      20,octree_skin         ,      0.287246,        0.010631,          0.121462,           0.138824,      0.026960,           125,                83339.86,             1,           5
uniform_cloud ,      25,uniform_grid_skin   ,      0.101147,        0.004228,          0.079027,           0.012913,      0.009207,           122,                 6169.13,             1,           5
uniform_cloud ,      25,octree_skin         ,      0.261914,        0.010079,          0.101710,           0.135917,      0.024287,           104,                83347.46,             1,           5
uniform_cloud ,      30,uniform_grid_skin   ,      0.098485,        0.007884,          0.076399,           0.012754,      0.009331,           119,                 6170.39,             1,           5
uniform_cloud ,      30,octree_skin         ,      0.253377,        0.009664,          0.090843,           0.139506,      0.023029,            92,                83344.27,             1,           5
uniform_cloud ,      35,uniform_grid_skin   ,      0.094918,        0.003337,          0.072165,           0.012766,      0.009987,           115,                 6169.68,             1,           5
uniform_cloud ,      35,octree_skin         ,      0.242482,        0.013882,          0.080896,           0.140338,      0.021248,            81,                83343.34,             1,           5
uniform_cloud ,      40,uniform_grid_skin   ,      0.103576,        0.008044,          0.080508,           0.013301,      0.009767,           115,                 6169.42,             1,           5
uniform_cloud ,      40,octree_skin         ,      0.238573,        0.019771,          0.075257,           0.143077,      0.020238,            74,                83335.57,             1,           5
uniform_cloud ,      45,uniform_grid_skin   ,      0.098168,        0.006749,          0.075920,           0.012800,      0.009448,           114,                 6169.23,             1,           5
uniform_cloud ,      45,octree_skin         ,      0.319308,        0.014066,          0.083940,           0.215961,      0.019407,            65,               125455.12,             1,           5
uniform_cloud ,      50,uniform_grid_skin   ,      0.096440,        0.008349,          0.074306,           0.012775,      0.009359,           113,                 6169.64,             1,           5
uniform_cloud ,      50,octree_skin         ,      0.546566,        0.010063,          0.119568,           0.407602,      0.019397,            62,               245004.41,             1,           5
