scenario      ,       K,best_cell_size_ratio,best_cell_size_actual,avg_total_time_s
uniform_cloud ,       0,                2.00,               4.0000,        0.621516
uniform_cloud ,       1,                3.00,               6.0000,        0.619320
uniform_cloud ,       2,                2.00,               4.0000,        0.457802
uniform_cloud ,       5,                1.50,               3.0000,        0.255955
uniform_cloud ,      10,                2.00,               4.0000,        0.179186
uniform_cloud ,      20,                1.50,               3.0000,        0.115086
uniform_cloud ,      50,                2.00,               4.0000,        0.081521
uniform_cloud ,     100,                2.00,               4.0000,        0.071299
uniform_cloud ,     200,                2.00,               4.0000,        0.078332
uniform_cloud ,     500,                2.00,               4.0000,        0.076276
uniform_cloud ,    1000,                2.00,               4.0000,        0.068714
