scenario      ,       K, cell_size_ratio, cell_size_actual,avg_total_time_s,total_time_std_s,avg_broad_phase_time_s,avg_narrow_phase_time_s,avg_candidates_per_frame, rebuild_count,correctness_ok,repeat_count
uniform_cloud ,       0,            1.00,           2.0000,        0.489321,        0.010856,              0.472094,               0.003547,                 1721.53,          1000,             1,           5
uniform_cloud ,       0,            1.50,           3.0000,        0.522187,        0.006520,              0.496105,               0.011639,                 6170.32,          1000,             1,           5
uniform_cloud ,       0,            2.00,           4.0000,        0.502924,        0.013419,              0.465236,               0.023910,                14289.63,          1000,             1,           5
uniform_cloud ,       0,            3.00,           6.0000,        0.546163,        0.020876,              0.458481,               0.073459,                45374.94,          1000,             1,           5
uniform_cloud ,       0,            5.00,          10.0000,        0.873559,        0.039025,              0.569237,               0.289755,               178798.30,          1000,             1,           5
uniform_cloud ,       0,            8.00,          16.0000,        2.507419,        0.128167,              1.616915,               0.871334,               540342.51,          1000,             1,           5
uniform_cloud ,       1,            1.00,           2.0000,        0.477100,        0.012579,              0.460323,               0.003505,                 1721.53,          1000,             1,           5
uniform_cloud ,       1,            1.50,           3.0000,        0.475415,        0.008692,              0.452798,               0.009835,                 6170.32,          1000,             1,           5
uniform_cloud ,       1,            2.00,           4.0000,        0.479726,        0.012563,              0.444528,               0.022177,                14289.63,          1000,             1,           5
uniform_cloud ,       1,            3.00,           6.0000,        0.503984,        0.010572,              0.425550,               0.065465,                45374.94,          1000,             1,           5
uniform_cloud ,       1,            5.00,          10.0000,        0.773911,        0.015119,              0.510326,               0.250453,               178798.30,          1000,             1,           5
uniform_cloud ,       1,            8.00,          16.0000,        2.141485,        0.057895,              1.335335,               0.790268,               540342.51,          1000,             1,           5
uniform_cloud ,       2,            1.00,           2.0000,        0.486617,        0.043806,              0.469742,               0.003510,                 1721.53,          1000,             1,           5
uniform_cloud ,       2,            1.50,           3.0000,        0.357657,        0.004800,              0.335529,               0.010118,                 6170.38,           737,             1,           5
uniform_cloud ,       2,            2.00,           4.0000,        0.360639,        0.002271,              0.326612,               0.022009,                14289.30,           737,             1,           5
uniform_cloud ,       2,            3.00,           6.0000,        0.391990,        0.003136,              0.315087,               0.064886,                45373.63,           737,             1,           5
