scenario      ,       K,leaf_capacity,max_depth,avg_total_time_s,total_time_std_s,avg_broad_phase_time_s,avg_narrow_phase_time_s,avg_candidates_per_frame, rebuild_count,correctness_ok,repeat_count
uniform_cloud ,       0,           16,        6,        1.079502,        0.042018,              0.822486,               0.108248,                83358.95,          1000,             1,           5
uniform_cloud ,       0,           16,        8,        1.066027,        0.034585,              0.812565,               0.106092,                83358.95,          1000,             1,           5
uniform_cloud ,       0,           16,       10,        1.080601,        0.039299,              0.824261,               0.107523,                83358.95,          1000,             1,           5
uniform_cloud ,       0,           32,        6,        1.075760,        0.014038,              0.648079,               0.319822,               245359.02,          1000,             1,           5
uniform_cloud ,       0,           32,        8,        1.085949,        0.015648,              0.655079,               0.321635,               245359.02,          1000,             1,           5
uniform_cloud ,       0,           32,       10,        1.100786,        0.025977,              0.663493,               0.324653,               245359.02,          1000,             1,           5
uniform_cloud ,       0,           64,        6,        1.547874,        0.063032,              0.811082,               0.665030,               496493.38,          1000,             1,           5
uniform_cloud ,       0,           64,        8,        1.562580,        0.042380,              0.830719,               0.662742,               496493.38,          1000,             1,           5
uniform_cloud ,       0,           64,       10,        1.533866,        0.024866,              0.811795,               0.652729,               496493.38,          1000,             1,           5
uniform_cloud ,       1,           16,        6,        1.093508,        0.015673,              0.831691,               0.110672,                83358.95,          1000,             1,           5
uniform_cloud ,       1,           16,        8,        1.090728,        0.008539,              0.831079,               0.108334,                83358.95,          1000,             1,           5
uniform_cloud ,       1,           16,       10,        1.076069,        0.026137,              0.819901,               0.107209,                83358.95,          1000,             1,           5
uniform_cloud ,       1,           32,        6,        1.080757,        0.042406,              0.652737,               0.320298,               245359.02,          1000,             1,           5
uniform_cloud ,       1,           32,        8,        1.060716,        0.032029,              0.638013,               0.316168,               245359.02,          1000,             1,           5
uniform_cloud ,       1,           32,       10,        1.086547,        0.029330,              0.653549,               0.323729,               245359.02,          1000,             1,           5
uniform_cloud ,       1,           64,        6,        1.522717,        0.024570,              0.804856,               0.649847,               496493.38,          1000,             1,           5
uniform_cloud ,       1,           64,        8,        1.523029,        0.077170,              0.800976,               0.653349,               496493.38,          1000,             1,           5
uniform_cloud ,       1,           64,       10,        1.511815,        0.059654,              0.793071,               0.650437,               496493.38,          1000,             1,           5
uniform_cloud ,       2,           16,        6,        0.835895,        0.037261,              0.613774,               0.108874,                83356.61,           737,             1,           5
uniform_cloud ,       2,           16,        8,        0.837430,        0.013472,              0.615289,               0.108192,                83356.61,           737,             1,           5
uniform_cloud ,       2,           16,       10,        0.846273,        0.010557,              0.621579,               0.109277,                83356.61,           737,             1,           5
uniform_cloud ,       2,           32,        6,        0.881976,        0.050406,              0.478825,               0.320491,               245388.07,           737,             1,           5
uniform_cloud ,       2,           32,        8,        0.903611,        0.016341,              0.491504,               0.328260,               245388.07,           737,             1,           5
uniform_cloud ,       2,           32,       10,        0.903438,        0.020344,              0.492212,               0.327012,               245388.07,           737,             1,           5
uniform_cloud ,       2,           64,        6,        1.337040,        0.009247,              0.621236,               0.660708,               496498.90,           737,             1,           5
uniform_cloud ,       2,           64,        8,        1.359702,        0.031887,              0.638104,               0.665884,               496498.90,           737,             1,           5
uniform_cloud ,       2,           64,       10,        1.437655,        0.060043,              0.694905,               0.685035,               496498.90,           737,             1,           5
uniform_cloud ,       5,           16,        6,        0.501768,        0.023282,              0.323472,               0.114606,                83354.49,           366,             1,           5
uniform_cloud ,       5,           16,        8,        0.493737,        0.014594,              0.319268,               0.111659,                83354.49,           366,             1,           5
uniform_cloud ,       5,           16,       10,        0.485270,        0.015541,              0.312664,               0.110911,                83354.49,           366,             1,           5
