scenario      ,leaf_capacity,max_depth,avg_total_time_s,total_time_std_s,avg_broad_phase_time_s,avg_narrow_phase_time_s,avg_candidates_per_frame,correctness_ok,repeat_count
uniform_cloud ,            2,        4,        1.532212,        0.026990,              1.517075,               0.007553,                14819.17,             1,           5
uniform_cloud ,            2,        6,        1.572885,        0.025001,              1.558262,               0.007735,                14806.14,             1,           5
uniform_cloud ,            2,        8,        1.526965,        0.027866,              1.513081,               0.007220,                14806.14,             1,           5
uniform_cloud ,            2,       10,        1.523583,        0.020678,              1.509975,               0.007122,                14806.14,             1,           5
uniform_cloud ,            2,       12,        1.517615,        0.024177,              1.503758,               0.007165,                14806.14,             1,           5
uniform_cloud ,            4,        4,        0.935467,        0.013393,              0.903507,               0.015969,                33546.66,             1,           5
uniform_cloud ,            4,        6,        0.919234,        0.008327,              0.891112,               0.016328,                33546.66,             1,           5
uniform_cloud ,            4,        8,        0.910562,        0.020168,              0.882060,               0.016621,                33546.66,             1,           5
uniform_cloud ,            4,       10,        0.906300,        0.011947,              0.878550,               0.015982,                33546.66,             1,           5
uniform_cloud ,            4,       12,        0.902636,        0.016812,              0.874899,               0.015858,                33546.66,             1,           5
uniform_cloud ,            8,        4,        0.417258,        0.022998,              0.345799,               0.040357,                78259.61,             1,           5
uniform_cloud ,            8,        6,        0.392221,        0.003902,              0.326144,               0.040247,                78259.61,             1,           5
uniform_cloud ,            8,        8,        0.389147,        0.004701,              0.322180,               0.039339,                78259.61,             1,           5
uniform_cloud ,            8,       10,        0.391579,        0.012366,              0.323768,               0.040278,                78259.61,             1,           5
uniform_cloud ,            8,       12,        0.375970,        0.012179,              0.312103,               0.038986,                78259.61,             1,           5
uniform_cloud ,           16,        4,        0.395563,        0.018477,              0.322726,               0.042250,                81353.87,             1,           5
uniform_cloud ,           16,        6,        0.381264,        0.009234,              0.310375,               0.041182,                81353.87,             1,           5
uniform_cloud ,           16,        8,        0.387767,        0.009066,              0.315098,               0.040894,                81353.87,             1,           5
uniform_cloud ,           16,       10,        0.380167,        0.010581,              0.310113,               0.039859,                81353.87,             1,           5
uniform_cloud ,           16,       12,        0.395251,        0.024455,              0.323481,               0.041129,                81353.87,             1,           5
uniform_cloud ,           32,        4,        0.617344,        0.057295,              0.383197,               0.122033,               240594.12,             1,           5
uniform_cloud ,           32,        6,        0.569521,        0.018758,              0.347303,               0.119284,               240594.12,             1,           5
uniform_cloud ,           32,        8,        0.587811,        0.029429,              0.358962,               0.123299,               240594.12,             1,           5
uniform_cloud ,           32,       10,        0.560494,        0.059074,              0.344368,               0.111973,               240594.12,             1,           5
uniform_cloud ,           32,       12,        0.590658,        0.046274,              0.369625,               0.113641,               240594.12,             1,           5
uniform_cloud ,           64,        4,        1.127527,        0.113590,              0.598885,               0.265159,               495669.33,             1,           5
uniform_cloud ,           64,        6,        1.019701,        0.017393,              0.515818,               0.257279,               495669.33,             1,           5
uniform_cloud ,           64,        8,        1.154422,        0.080626,              0.606222,               0.257360,               495669.33,             1,           5
uniform_cloud ,           64,       10,        1.003559,        0.043256,              0.499156,               0.247390,               495669.33,             1,           5
uniform_cloud ,           64,       12,        1.044431,        0.063587,              0.531662,               0.241803,               495669.33,             1,           5
