  particle_num,  speed_cv_param, solid_fraction_actual,  velocity_cv_actual, acc_magnitude_cv_actual,       K,  total_time_s,broad_phase_time_s,narrow_phase_time_s, rebuild_count,avg_candidates_per_frame,correctness_ok,repeat_count
           500,            0.10,              0.009696,            0.102310,                0.292562,       0,      0.199344,          0.190563,           0.001385,          2000,                  378.87,             1,           3
           500,            0.10,              0.009696,            0.102310,                0.292562,       5,      0.072239,          0.066102,           0.001190,           613,                  378.99,             1,           3
           500,            0.10,              0.009696,            0.102310,                0.292562,      20,      0.066063,          0.059921,           0.001180,           538,                  379.00,             1,           3
           500,            0.10,              0.009696,            0.102310,                0.292562,      50,      0.069367,          0.062789,           0.001261,           538,                  378.88,             1,           3
           500,            0.10,              0.009696,            0.102310,                0.292562,     100,      0.067350,          0.061071,           0.001230,           538,                  378.88,             1,           3
           500,            0.10,              0.009696,            0.102310,                0.292562,     200,      0.068602,          0.062102,           0.001262,           538,                  378.88,             1,           3
           500,            0.10,              0.009696,            0.102310,                0.292562,     500,      0.067495,          0.061255,           0.001203,           538,                  378.88,             1,           3
           500,            0.10,              0.009696,            0.102310,                0.292562,    1000,      0.067081,          0.060753,           0.001247,           538,                  378.88,             1,           3
           500,            0.30,              0.009696,            0.293268,                0.286921,       0,      0.181447,          0.173793,           0.001203,          2000,                  376.12,             1,           3
           500,            0.30,              0.009696,            0.293268,                0.286921,       5,      0.073383,          0.066916,           0.001254,           594,                  376.20,             1,           3
           500,            0.30,              0.009696,            0.293268,                0.286921,      20,      0.068935,          0.061893,           0.001402,           526,                  376.07,             1,           3
           500,            0.30,              0.009696,            0.293268,                0.286921,      50,      0.065603,          0.059320,           0.001219,           525,                  376.06,             1,           3
           500,            0.30,              0.009696,            0.293268,                0.286921,     100,      0.064011,          0.057902,           0.001171,           525,                  376.06,             1,           3
           500,            0.30,              0.009696,            0.293268,                0.286921,     200,      0.063908,          0.057848,           0.001169,           525,                  376.06,             1,           3
           500,            0.30,              0.009696,            0.293268,                0.286921,     500,      0.064719,          0.058530,           0.001204,           525,                  376.06,             1,           3
           500,            0.30,              0.009696,            0.293268,                0.286921,    1000,      0.067792,          0.060933,           0.001401,           525,                  376.06,             1,           3
           500,            0.50,              0.009696,            0.472503,                0.293824,       0,      0.185779,          0.178054,           0.001219,          2000,                  382.31,             1,           3
           500,            0.50,              0.009696,            0.472503,                0.293824,       5,      0.070658,          0.064562,           0.001169,           600,                  382.30,             1,           3
           500,            0.50,              0.009696,            0.472503,                0.293824,      20,      0.065111,          0.059038,           0.001180,           543,                  382.33,             1,           3
           500,            0.50,              0.009696,            0.472503,                0.293824,      50,      0.065264,          0.059248,           0.001160,           542,                  382.41,             1,           3
           500,            0.50,              0.009696,            0.472503,                0.293824,     100,      0.070774,          0.063823,           0.001430,           542,                  382.41,             1,           3
