x,y,z
1.57272,-8.33235,-0.119781
-1.95335,3.36495,0.214166
2.01362,0.745187,0.0233095
-0.0289187,-0.0263078,0.0117995
24.5026,3.57562,-0.243911
0.0143666,0.132197,0.0603441
-1.7771,1.61782,-0.00244552
0.177776,-0.262561,0.956386
-0.274452,-0.115278,-0.0140219
-2.89648,-6.49793,-0.00331934
0.42257,0.808689,-0.119316
1.117,4.12804,-0.0409052
9.4887,-14.4878,-0.217833
-0.521948,-0.453593,0.594313
3.16503,-0.787845,0.0473193
2.6025,-0.577346,0.0659191
-1.84521,6.16664,-0.187568
6.73399,20.2234,-0.136678
-0.926038,-0.727297,0.0211587
0.298522,-0.0841025,0.582384
-2.42119,-4.32916,0.0950005
-2.14126,1.93793,0.172652
0.233897,0.368061,-0.389851
1.30976,1.09593,-0.0843896
6.34818,-4.87555,0.263353
-7.80864,-6.01135,-0.102509
7.46289,-2.80106,0.162292
0.411867,-0.733484,0.446315
0.77232,3.84363,0.0962641
-6.5123,8.2557,-0.0209692
0.424961,-0.655662,-0.435152
-1.28086,-3.38559,-0.0506643
3.46268,6.14145,0.0301323
-0.336392,13.671,-0.145852
-0.425036,-1.75923,-0.0441766
-0.959835,-2.06345,-0.00841651
-3.79742,-1.31063,-0.0762627
2.32378,-6.6992,0.0168659
-0.0672521,0.0496246,0.0512424
-1.13015,-3.19014,0.0543489
-0.548376,-0.341151,0.443756
10.8998,-4.27413,0.0605483
1.7234,-2.80402,0.116921
-1.02486,-2.89128,0.0873317
8.66149,-0.97451,-0.171053
0.0594892,0.0314123,0.250798
-0.300699,-0.423307,0.408076
0.235854,0.460333,-0.113361
0.426999,0.894297,0.283447
-0.0822502,-0.492691,-0.54697
4.00765,-0.139622,-0.133007
-0.268266,-1.45287,-0.00252876
-3.05278,-0.169237,-0.131857
-0.106296,0.00887512,0.0720387
-0.968188,-0.423679,0.682217
0.586014,-0.00234799,-0.785406
1.26713,0.356112,-0.00115833
-0.0088771,-0.61929,0.0190599
0.303065,-0.972115,0.168199
2.14986,5.52207,0.00506298
-2.51887,2.59318,0.109633
-0.167706,-0.57386,0.694801
-2.68493,5.47619,0.0449774
-0.169219,4.33681,0.177892
12.5233,0.408123,-0.118327
4.38866,1.44943,0.0494996
0.0341756,-0.204704,0.944774
9.25971,-1.06111,-0.0675805
-0.206381,0.297822,-0.995769
0.213013,0.605199,-0.075618
-1.38544,-4.2199,-0.0107194
-0.00799288,1.47826,-0.0486217
-11.3203,5.4741,-0.036845
0.0786009,-0.774414,-0.171565
7.78813,-3.39267,0.0271062
-0.519656,-4.12169,0.224481
1.54506,2.38946,-0.0339386
-4.44638,10.9453,-0.0815271
0.349546,0.299948,-0.240624
14.4085,-4.76724,-0.209379
0.000906806,0.377968,0.966771
0.271188,-0.0990766,0.0413875
0.586218,0.2657,0.374553
0.44924,-0.944812,0.180896
-0.574209,-0.806038,-0.0668975
4.72878,1.18136,-0.0868084
-3.04005,-4.51729,0.155492
-6.71995,0.167344,-0.09812
4.86068,-2.04391,-0.00900786
-0.25294,-1.10838,0.694783
-0.317425,-2.74057,-0.0367763
-0.659722,-0.270195,-0.0547723
-0.122255,-1.92558,-0.0626858
-2.69162,2.2376,-0.134201
10.8696,3.79685,0.0392042
-3.64016,0.159618,-0.0124525
-9.55565,-7.16904,-0.144065
0.134659,-0.171294,0.124657
0.906833,0.202291,0.0450363
0.0413652,-0.719731,-0.191744
0.346022,0.4555,-0.158165
0.537586,-0.502544,0.0079009
-0.405751,-0.264303,0.13265
-1.35467,-4.67204,-0.095439
-5.07628,2.21749,-0.0574201
0.161629,-1.49021,-0.149197
0.420086,0.566671,-0.269873
-12.2538,-2.20774,-0.141996
1.09194,-0.152603,-0.189675
0.342227,-0.190625,0.0599093
1.61604,0.82898,-0.0471878
-0.00683691,-0.019736,-0.0556181
1.314,-0.774268,-0.0875562
-5.35425,-7.07071,-0.0234848
-0.735962,7.32467,-0.132561
-3.19059,16.8618,-0.0771205
-0.332322,2.50909,-0.0122789
0.365702,0.20935,0.0648893
-0.615865,0.0947925,0.699798
-0.0529777,0.0518324,-0.0447428
2.2282,-4.10399,-0.0694146
10.018,0.862706,0.010986
-1.80016,-0.394628,0.0319538
0.0711731,-1.59861,0.0193278
1.98253,6.83116,-0.0848521
0.0285444,-0.648659,-0.0936245
6.50757,0.913017,-0.347817
-0.134131,0.468536,-0.284663
-0.281629,1.26963,0.698397
0.889653,-0.619837,-0.038991
-0.0767637,-0.0619662,0.0823353
-1.5278,-0.469447,0.205245
-0.139188,0.447833,0.190591
2.12721,-3.25655,0.0227602
13.0131,3.85713,-0.152316
-1.48356,2.28773,0.120592
-3.34374,-1.97086,0.161179
-1.53694,0.953014,-0.0812956
0.23389,0.00753219,-0.682832
0.252053,-0.640146,-0.650802
-2.93096,-0.644009,0.0786034
-2.40934,4.99066,-0.028714
-1.39378,-3.38198,-0.122605
20.1467,-21.9183,0.00416653
2.56726,-0.222235,0.0799691
-1.34608,-0.26789,0.00690055
8.31454,11.1086,0.0400219
-0.392256,-0.179105,0.450932
-0.891337,-11.2399,0.0259921
-0.645518,0.037633,-0.437504
-5.27978,0.8713,0.13431
-0.222268,-2.67836,-0.130766
-2.4518,-1.0511,-0.152308
-0.567933,-0.707601,0.297701
5.06431,-2.24112,-0.0206239
-1.13898,0.0869832,0.453936
0.897582,-0.0372538,0.28317
1.9574,-3.14595,0.0831818
-0.0395051,-0.157776,0.0640582
0.193082,-1.7212,-0.0814784
3.0991,-1.4107,0.088193
-3.7628,-1.1862,-0.168487
-3.19858,-7.33723,0.238988
6.61786,-9.0217,-0.0604414
4.08458,-1.83074,0.0668101
2.98482,-14.8764,-0.0189208
0.381424,0.318983,-0.221216
1.90888,-1.24762,0.045871
-1.08423,-2.42082,0.177238
-0.199187,0.353962,1.10423
-1.68758,2.16542,0.0686832
-7.10413,-1.96024,-0.233959
-0.670603,-5.4598,-0.0881879
0.256302,0.852912,-0.0161651
0.000174393,-0.0115489,0.0970078
-1.77644,-7.73344,0.0720773
1.12343,0.848093,-0.22448
-2.52099,-0.0362496,0.0675809
-3.03026,1.95109,0.133044
1.18895,-2.26966,0.199932
-0.588893,-0.340131,-0.83973
0.296068,0.353865,-0.0605063
-1.01938,-6.73589,-0.0875525
0.102305,0.602485,0.336213
11.8265,6.24477,-0.0627419
-0.437623,0.771212,-0.0495389
-5.76785,-4.64443,0.139716
-0.948195,-0.723371,-0.0690399
2.88111,-3.32998,-0.00654774
-0.363241,-0.221241,0.0807417
0.00508659,0.456441,-0.119427
1.11069,-5.72547,0.0277182
1.75845,7.36132,0.0445399
1.87225,-2.24495,0.00142119
-2.59125,8.04449,-0.0870865
-0.653118,0.906259,-0.161196
-1.69007,1.63314,0.0303106
-1.6586,-0.291059,0.11665
-3.65788,0.0686828,-0.0356532
0.263463,-12.9152,0.0238296
-0.533571,-0.0899426,0.12222
-8.14044,-0.281829,-0.217432
-4.8984,-2.28413,0.0143215
1.0799,-0.0766054,0.0978293
1.04367,-0.249528,-0.169327
-0.202062,-2.27557,-0.0900533
0.683685,0.479127,0.113631
-0.62682,0.728711,0.074798
-0.522374,0.766658,-0.0627311
0.625826,-0.177516,0.128737
-0.0724893,0.0133258,-0.00642927
-0.472007,-1.41763,-0.134271
-4.66571,-6.01923,-0.104449
-0.111197,0.551513,0.575713
0.673373,0.0633966,-0.37982
-0.649811,-3.43014,-0.000335087
-0.844113,9.79359,0.0911376
-2.28417,0.0822164,-0.0916546
-0.728417,0.499181,-0.0418705
0.0846692,0.193556,0.145493
1.18268,0.540721,-0.0225006
0.603796,0.374017,0.750486
0.259936,-0.0591617,-0.0249043
1.61856,2.62324,-0.111911
0.187293,-0.524414,-1.05968
-1.23625,-4.2478,-0.0350865
3.45214,1.78453,-0.0307786
-0.329449,0.108754,0.972936
0.0112606,-0.213349,0.128453
2.23635,-0.274287,0.0689036
0.677423,0.514321,0.0724687
2.65288,-0.0107762,-0.0382483
-1.43935,3.45311,0.0357526
-9.5228,5.09869,-0.0587269
1.3848,0.497405,0.135663
-1.42048,1.61741,-0.271249
2.74448,-2.41963,-0.252934
0.927968,-2.63046,0.129818
-0.15742,-2.05904,-0.264725
0.364771,-0.547052,-1.18581
0.320452,-0.0859567,-0.0121386
-5.22965,3.88623,-0.0555224
-5.39327,-0.768239,-0.186135
-0.149869,0.333603,0.806985
0.450958,0.131325,-0.024507
0.0661705,-0.212761,-0.0883157
2.63411,-0.293649,0.0243496
0.464049,-0.0745946,-0.329707
0.30907,-0.251852,-0.207934
-0.0520249,0.234282,0.254095
-7.60456,-0.876345,0.0631446
-3.31045,0.183513,0.245384
-0.0435544,0.472705,0.689137
0.354173,-0.427427,0.0683586
-0.674667,4.64432,-0.0604628
-0.0154753,-0.0345112,-0.0937893
-0.453018,0.487425,-0.117728
0.149173,0.12257,0.0102129
0.0216359,0.515237,0.0756847
2.00711,-2.29129,0.0862797
2.20234,-2.40025,-0.0637853
0.389304,5.4691,-0.0474146
0.158903,-0.314758,0.0974265
-0.0793373,0.520103,-0.0473767
0.132905,0.98364,0.156731
7.10052,4.14511,0.0343109
2.16548,1.92963,-0.0221197
-18.1869,8.24737,0.0189721
-0.59271,-0.199446,0.385213
1.23059,-0.423071,0.067677
-0.334694,-1.25663,-0.0695422
0.796882,-0.0493898,-0.00415701
-2.42279,-3.22997,-0.170509
-0.681146,0.708804,0.13829
-0.0564959,-0.612468,0.0444761
0.582957,0.417043,-0.247352
4.98441,5.39789,-0.184677
-0.0421574,-1.61135,-0.0566669
-0.154581,-0.690007,-0.116322
2.63486,8.80056,0.256406
-8.97152,2.68652,-0.0370209
5.20309,-3.21839,0.00233076
-0.0808129,-0.670637,-0.713063
3.95726,6.30772,0.0606165
-4.72784,-3.01139,0.0296459
-1.62202,-3.47279,-0.00408579
-0.0225145,-0.126135,0.121516
0.371042,0.128998,0.234558
7.68507,5.79222,-0.0323356
-4.42249,6.41891,0.00476036
0.271992,0.13307,0.102314
-0.604662,0.75182,0.00915857
0.0346291,0.108568,0.0919303
1.90758,-0.599335,0.0552524
-0.453539,-0.307295,0.147585
0.316803,-0.108799,0.152368
-0.929214,-0.791184,0.211576
0.543314,-2.51724,-0.0205255
8.23159,13.7213,0.168565
-2.13344,0.279342,-0.0460295
-5.46096,1.03524,0.0571194
8.24975,13.3066,0.0375251
-1.05262,1.85044,-0.0489699
0.835139,4.46339,0.309405
4.28347,-6.70745,0.113125
0.170815,-1.52752,-0.0274747
-3.03868,-0.267908,-0.0409455
-2.04566,-1.44201,0.00766161
2.11295,-0.104523,-0.0888211
1.96505,-3.27565,-0.136304
-1.05014,0.710683,0.165995
-2.85461,1.73623,0.127564
3.38646,2.37665,0.161007
1.70003,1.15943,-0.164578
-4.68901,3.4499,0.171677
0.692056,7.16454,0.153761
-0.959337,-0.328886,0.975517
-3.40451,-2.09761,-0.0589979
-0.37101,-0.652328,0.702272
0.623307,-3.07891,-0.160554
2.65217,-3.03833,0.1584
0.0479633,0.0467555,0.230779
-9.44118,-11.4129,-0.062387
-9.78149,-5.75747,-0.0536739
-4.57756,0.581288,-0.154446
-5.24565,-1.07756,0.0503429
6.26181,7.92179,0.00638563
-1.00302,-8.28681,0.012059
7.05877,-1.65499,0.0805193
-0.609486,-0.0514221,-0.0133972
0.610907,-0.696381,-0.0402035
-0.342146,-0.250591,0.027903
0.25297,0.495177,-0.92547
-1.04293,2.28638,0.0943464
-0.130983,-0.25384,0.151199
-0.357388,0.146269,-0.0785353
-0.182101,0.376438,-0.159778
-1.02177,1.90422,0.0948177
-2.279,-0.959784,0.0874834
-2.84574,1.03627,-0.215698
1.30572,2.32106,0.126918
2.91803,-0.918243,0.0697737
-0.815337,0.0854855,-1.20823
-0.313938,-1.42511,-0.0533104
-0.886875,0.411479,0.0129307
-8.0495,1.05888,0.0380047
-6.63927,-6.02997,0.204918
0.139053,1.22789,0.489447
-1.34155,0.975915,-0.105864
0.0315827,-0.270161,0.25677
0.458012,1.06259,-0.0143846
-0.713234,0.726718,0.0796209
10.9313,0.177494,0.0247498
-0.698646,-0.919703,0.225045
4.23205,-2.84159,0.0316742
-0.677085,-5.94722,0.150966
0.514419,0.284897,-0.283878
0.869571,9.34675,0.0432193
1.23403,-0.946092,-0.273745
-5.10991,-6.01813,-0.093778
2.1412,0.823802,-0.0434826
-1.83346,0.689953,-0.069088
1.6033,0.159906,0.104261
4.50523,-3.04008,-0.0519853
-4.06143,-5.25569,-0.16315
-3.95885,-3.58665,0.158095
-0.445436,-0.805475,0.0196168
-1.11119,-2.36649,-0.0601887
1.43447,3.64478,-0.0143512
